STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
KARNATAKA,MOODABIDRI,ABDUL REHIMAN,ALL INDIA MAHILA EMPOWERMENT PARTY,616
KARNATAKA,MOODABIDRI,REENA PINTO,INDEPENDENT,435
KARNATAKA,MOODABIDRI,NONE OF THE ABOVE,NONE OF THE ABOVE,1037
KARNATAKA,BELTHANGADY,HARISH POONJA,BHARATIYA JANATA PARTY,98417
KARNATAKA,BELTHANGADY,K.VASANTHA BANGERA,INDIAN NATIONAL CONGRESS,75443
KARNATAKA,BELTHANGADY,JAGANNATHA. M,ALL INDIA MAHILA EMPOWERMENT PARTY,1806
KARNATAKA,BELTHANGADY,SUMATHI S HEGDE,JANATA DAL (SECULAR),1612
KARNATAKA,BELTHANGADY,VENKATESHA BENDE,INDEPENDENT,654
KARNATAKA,BELTHANGADY,U.M. SYED HASSAN,INDEPENDENT,373
KARNATAKA,BELTHANGADY,NONE OF THE ABOVE,NONE OF THE ABOVE,1245
KARNATAKA,SAKLESHPUR,H K KUMARASWAMY,JANATA DAL (SECULAR),62262
KARNATAKA,SAKLESHPUR,SOMASHEKAR JAYARAJ,BHARATIYA JANATA PARTY,57320
KARNATAKA,SAKLESHPUR,SIDDAIAH,INDIAN NATIONAL CONGRESS,37002
KARNATAKA,SAKLESHPUR,K R PRADEEP KUMAR,ALL INDIA MAHILA EMPOWERMENT PARTY,1148
KARNATAKA,SAKLESHPUR,VEERESHA,INDEPENDENT,576
KARNATAKA,SAKLESHPUR,M CHINNAMALLAIAH,INDEPENDENT,572
KARNATAKA,SAKLESHPUR,KUMARASWAMY,INDEPENDENT,531
KARNATAKA,SAKLESHPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,1597
KARNATAKA,ARKALGUD,A. T. RAMASWAMY,JANATA DAL (SECULAR),85064
KARNATAKA,ARKALGUD,MANJU .A,INDIAN NATIONAL CONGRESS,74411
KARNATAKA,ARKALGUD,H. YOGARAMESHA,BHARATIYA JANATA PARTY,22679
KARNATAKA,ARKALGUD,SHESHEGOWDA,INDIAN NEW CONGRESS PARTY,3559
